restaurant_id,id,url,text,rating,time_created,user
-0iLH7iQNYtoURciDpJf6w,sok5mYZnawtFMhMO2qQl6w,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=sok5mYZnawtFMhMO2qQl6w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"Wow. What an amazing restaurant and a must try in Paris. 

Recommend:
Duck Foie Gras Ravioli (10/10): Just amazing. The creamy sauce compliments the foie...",5,2023-06-08 04:08:58,"{'id': 'RSyuYG8RShnxGzM1jM3k5A', 'profile_url': 'https://www.yelp.com/user_details?userid=RSyuYG8RShnxGzM1jM3k5A', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/-0cwCaRAD4Aey5pNuFe3aA/o.jpg', 'name': 'Grace N.'}"
-0iLH7iQNYtoURciDpJf6w,TqIYPVpx3BfIzawiCmeW8Q,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=TqIYPVpx3BfIzawiCmeW8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"Situated in the heart of Paris, on an assuming corner lies this gem of a restaurant. The store is not very large, sits at most 20 or so tables inside and...",5,2023-05-18 10:49:15,"{'id': '7QlwLXD9wryTTvv4ymjtXw', 'profile_url': 'https://www.yelp.com/user_details?userid=7QlwLXD9wryTTvv4ymjtXw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/QCFGP3CGIHVdZLbI5XPvNA/o.jpg', 'name': 'Richard L.'}"
-0iLH7iQNYtoURciDpJf6w,DvpQmef1WeUyQ18ysrFnIw,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=DvpQmef1WeUyQ18ysrFnIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,Great place. 90% of the guests are Asians (at least the time and day I was eating:730pm on a Tuesday) so i didn't feel out of place or anything like that....,5,2023-05-17 01:56:17,"{'id': 'Oe0q7E3SRHwe3shzGdoxyQ', 'profile_url': 'https://www.yelp.com/user_details?userid=Oe0q7E3SRHwe3shzGdoxyQ', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/4lLhqg0h51Kp_fekG7ar8A/o.jpg', 'name': 'Adrienne L.'}"
IU9_wVOGBKjfqTTpAXpKcQ,ZkuuELVcuR8v3jvXnvHtUQ,https://www.yelp.com/biz/bistro-des-augustins-paris?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=ZkuuELVcuR8v3jvXnvHtUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"We found this place by accident and I am so glad we did. This was the BEST meal we have had while in Paris.

If I would have known about this place before I...",5,2022-12-29 13:02:17,"{'id': 'mnGFjFvh5E_e8bZL1L5A9g', 'profile_url': 'https://www.yelp.com/user_details?userid=mnGFjFvh5E_e8bZL1L5A9g', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/-EAWulCm317dHTZGtjxC3A/o.jpg', 'name': 'Jerry L.'}"
IU9_wVOGBKjfqTTpAXpKcQ,XZfkVT1y5P92Ia0aGQgmRw,https://www.yelp.com/biz/bistro-des-augustins-paris?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=XZfkVT1y5P92Ia0aGQgmRw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"We ordered gratins, with chicken, salmon, vegetables 
The dish included mostly potatoes,
The cheese layer was barely there
Overall a disappointment 
Will...",3,2023-06-07 04:22:15,"{'id': 'dwf8jEZhiGscIP9nV-uBww', 'profile_url': 'https://www.yelp.com/user_details?userid=dwf8jEZhiGscIP9nV-uBww', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/XWxtoIEdzKTNWbsCuC4OoQ/o.jpg', 'name': 'Andre C.'}"
IU9_wVOGBKjfqTTpAXpKcQ,DqHYjqPeLmUaFjnfmJed5Q,https://www.yelp.com/biz/bistro-des-augustins-paris?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=DqHYjqPeLmUaFjnfmJed5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"We came here because everyone on yelp rated it number 1. We got a reservation ahead of time, as you should because it gets very busy.

My dish was very...",4,2023-02-04 17:17:01,"{'id': 'ctbzhKRLvKrrXlxyfI9Zdg', 'profile_url': 'https://www.yelp.com/user_details?userid=ctbzhKRLvKrrXlxyfI9Zdg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/8iDs4XpGT_TW8BZqAbmycw/o.jpg', 'name': 'James E.'}"
cEjF41ZQB8-SST8cd3EsEw,hU6GPw8fA1iO94e7YlNSSw,https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=hU6GPw8fA1iO94e7YlNSSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"A tradition upon arrival...

We have stayed at Hotel Relais Saint Germaine a couple of times, and one of the bonuses of the hotel are it's on-site...",5,2023-05-17 09:42:14,"{'id': 'wrMz3KwPYEHcDLH5SW4lUA', 'profile_url': 'https://www.yelp.com/user_details?userid=wrMz3KwPYEHcDLH5SW4lUA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/KbDy9V0RCO935iAK1i_xoA/o.jpg', 'name': 'John C.'}"
cEjF41ZQB8-SST8cd3EsEw,Jig6hKJZCXCI8dRttKXpZA,https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=Jig6hKJZCXCI8dRttKXpZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"5 stars for the langoustine - so good that we ordered a 2nd round
4 stars for the pate, squid, and fried shrimp
3 stars for the seared tuna and mussels...",4,2023-04-16 21:19:23,"{'id': '_tpzswb4NTS4bniz9aM1nQ', 'profile_url': 'https://www.yelp.com/user_details?userid=_tpzswb4NTS4bniz9aM1nQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/UaT3hXxSme2p7pOqJrlMGQ/o.jpg', 'name': 'Phi N.'}"
cEjF41ZQB8-SST8cd3EsEw,CJhNsC353SVe5SsOkZK7ZQ,https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=CJhNsC353SVe5SsOkZK7ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"Came here based on the overall positive Yelp review. There are two sides, seafood or meat side. We went to the seafood side since the wait was shorter...",5,2023-04-04 14:12:22,"{'id': '3TV-6JzSuGds2GYjAQvVtA', 'profile_url': 'https://www.yelp.com/user_details?userid=3TV-6JzSuGds2GYjAQvVtA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/rAJ9a4H8Z7xB6gJaSZj2fw/o.jpg', 'name': 'Bessie T.'}"
WHHt_Jb8Tgidn9mW7oDnIg,WMRKQUUR3BmjV_EZg7zVfw,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=WMRKQUUR3BmjV_EZg7zVfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"this is for a review from 2019, this place is perfect. would recommend 100%. prices are great, food is astounding.

and i never leave reviews.",5,2021-04-16 13:44:24,"{'id': 'MUr0gTj7hQhG1DHux2hqZA', 'profile_url': 'https://www.yelp.com/user_details?userid=MUr0gTj7hQhG1DHux2hqZA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/9-qtLpT_9LtwrD4tDfKN2Q/o.jpg', 'name': 'Troy B.'}"
WHHt_Jb8Tgidn9mW7oDnIg,vXIyQ3ofdv_2N_nvBCH-nw,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=vXIyQ3ofdv_2N_nvBCH-nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"Location good, nearby Lafayette  duck leg not bad! Service always good in Paris! Menu is not so many food!",4,2023-03-30 14:51:27,"{'id': 's7P3nbDl3xhe2jmhrwqAHA', 'profile_url': 'https://www.yelp.com/user_details?userid=s7P3nbDl3xhe2jmhrwqAHA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/wJIJtZSsK8R_TyQkx9bAKA/o.jpg', 'name': 'Zhi L.'}"
WHHt_Jb8Tgidn9mW7oDnIg,CJHA45L37XDV0loBf-cpsg,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=CJHA45L37XDV0loBf-cpsg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"I actually found this spot by accident when I was looking for just anything open that we could get into on a cold blistering December night in Paris.

I saw...",4,2021-12-20 14:23:56,"{'id': 'EiwxlbR8fb68lMgEXhcWKA', 'profile_url': 'https://www.yelp.com/user_details?userid=EiwxlbR8fb68lMgEXhcWKA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/61ZjYeOPqoWTtadX5DMDfw/o.jpg', 'name': 'Lorrie M.'}"
wLgAxIB7111BcWLWh7KpFw,eVhQ6VMhyR9zT-w2guAG4g,https://www.yelp.com/biz/la-r%C3%A9galade-paris-3?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=eVhQ6VMhyR9zT-w2guAG4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,This is place is OFF THE CHARTS!!! The best meal I had in all of Paris. I first came for lunch with my family and it was so good we had to come back for...,5,2023-01-04 11:30:43,"{'id': 'levrK5EzRv3-dXVu_rzegw', 'profile_url': 'https://www.yelp.com/user_details?userid=levrK5EzRv3-dXVu_rzegw', 'image_url': None, 'name': 'Leah L.'}"
wLgAxIB7111BcWLWh7KpFw,GTDVRDtJgM8MV3pMeoCDcw,https://www.yelp.com/biz/la-r%C3%A9galade-paris-3?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=GTDVRDtJgM8MV3pMeoCDcw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,"A local brought us here so you know it is legit.  We came for lunch and ordered the set menu which includes an appetizer, entree and dessert.  Both the food...",5,2023-05-05 09:21:24,"{'id': 'GX4qWExDVbrqzQlSs-pjCQ', 'profile_url': 'https://www.yelp.com/user_details?userid=GX4qWExDVbrqzQlSs-pjCQ', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/WD3FHlhn625Kg1_WW1ABfQ/o.jpg', 'name': 'Ray T.'}"
wLgAxIB7111BcWLWh7KpFw,gU2-UQ8AddovOpzSsR3ltA,https://www.yelp.com/biz/la-r%C3%A9galade-paris-3?adjust_creative=Gfp9qSmSlgBP7eaVzQe-WQ&hrid=gU2-UQ8AddovOpzSsR3ltA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Gfp9qSmSlgBP7eaVzQe-WQ,The room is very cozy and decor is eclectic. Service is very attentive in a bustling kind of way. We had the 3 course dinner and every course was delicious!...,5,2023-05-27 08:38:26,"{'id': '2d0VgJFpqU8Jahj9kYsqUw', 'profile_url': 'https://www.yelp.com/user_details?userid=2d0VgJFpqU8Jahj9kYsqUw', 'image_url': None, 'name': 'Kathy F.'}"
